freq (Hz),H(f) (dB),H(f) (dB)
-1.140E6,-1.222,-5.398
-1.120E6,-1.185,-5.358
-1.100E6,-1.148,-5.319
-1.080E6,-1.112,-5.279
-1.060E6,-1.076,-5.239
-1.040E6,-1.040,-5.199
-1.020E6,-1.005,-5.159
-1.000E6,-969.6E-3,-5.119
-980.0E3,-935.1E-3,-5.079
-960.0E3,-900.9E-3,-5.039
-940.0E3,-867.3E-3,-4.999
-920.0E3,-834.0E-3,-4.958
-900.0E3,-801.3E-3,-4.918
-880.0E3,-769.0E-3,-4.877
-860.0E3,-737.2E-3,-4.836
-840.0E3,-705.9E-3,-4.795
-820.0E3,-675.2E-3,-4.754
-800.0E3,-644.9E-3,-4.713
-780.0E3,-615.2E-3,-4.672
-760.0E3,-586.1E-3,-4.631
-740.0E3,-557.5E-3,-4.590
-720.0E3,-529.5E-3,-4.548
-700.0E3,-502.1E-3,-4.507
-680.0E3,-475.3E-3,-4.465
-660.0E3,-449.2E-3,-4.423
-640.0E3,-423.6E-3,-4.382
-620.0E3,-398.7E-3,-4.340
-600.0E3,-374.5E-3,-4.298
-580.0E3,-350.9E-3,-4.256
-560.0E3,-328.0E-3,-4.214
-540.0E3,-305.8E-3,-4.172
-520.0E3,-284.2E-3,-4.129
-500.0E3,-263.4E-3,-4.087
-480.0E3,-243.4E-3,-4.045
-460.0E3,-224.0E-3,-4.002
-440.0E3,-205.4E-3,-3.959
-420.0E3,-187.5E-3,-3.917
-400.0E3,-170.4E-3,-3.874
-380.0E3,-154.1E-3,-3.831
-360.0E3,-138.6E-3,-3.789
-340.0E3,-123.8E-3,-3.746
-320.0E3,-109.8E-3,-3.703
-300.0E3,-96.69E-3,-3.660
-280.0E3,-84.35E-3,-3.617
-260.0E3,-72.83E-3,-3.574
-240.0E3,-62.13E-3,-3.530
-220.0E3,-52.27E-3,-3.487
-200.0E3,-43.24E-3,-3.444
-180.0E3,-35.06E-3,-3.401
-160.0E3,-27.73E-3,-3.357
-140.0E3,-21.24E-3,-3.314
-120.0E3,-15.62E-3,-3.271
-100.0E3,-10.85E-3,-3.227
-80.00E3,-6.951E-3,-3.184
-60.00E3,-3.912E-3,-3.141
-40.00E3,-1.741E-3,-3.097
-20.00E3,-437.5E-6,-3.054
0.000,-2.796E-6,-3.010
20.00E3,-437.1E-6,-2.967
40.00E3,-1.740E-3,-2.923
60.00E3,-3.911E-3,-2.880
80.00E3,-6.949E-3,-2.837
100.0E3,-10.85E-3,-2.793
120.0E3,-15.62E-3,-2.750
140.0E3,-21.24E-3,-2.706
160.0E3,-27.72E-3,-2.663
180.0E3,-35.06E-3,-2.620
200.0E3,-43.24E-3,-2.577
220.0E3,-52.26E-3,-2.533
240.0E3,-62.13E-3,-2.490
260.0E3,-72.82E-3,-2.447
280.0E3,-84.35E-3,-2.404
300.0E3,-96.69E-3,-2.361
320.0E3,-109.8E-3,-2.319
340.0E3,-123.8E-3,-2.276
360.0E3,-138.6E-3,-2.233
380.0E3,-154.1E-3,-2.191
400.0E3,-170.4E-3,-2.148
420.0E3,-187.5E-3,-2.106
440.0E3,-205.4E-3,-2.064
460.0E3,-224.0E-3,-2.022
480.0E3,-243.3E-3,-1.980
500.0E3,-263.4E-3,-1.938
520.0E3,-284.2E-3,-1.896
540.0E3,-305.8E-3,-1.855
560.0E3,-328.0E-3,-1.814
580.0E3,-350.9E-3,-1.772
600.0E3,-374.5E-3,-1.732
620.0E3,-398.7E-3,-1.691
640.0E3,-423.6E-3,-1.650
660.0E3,-449.2E-3,-1.610
680.0E3,-475.3E-3,-1.570
700.0E3,-502.1E-3,-1.530
720.0E3,-529.5E-3,-1.491
740.0E3,-557.5E-3,-1.451
760.0E3,-586.1E-3,-1.412
780.0E3,-615.2E-3,-1.373
800.0E3,-644.9E-3,-1.335
820.0E3,-675.2E-3,-1.297
840.0E3,-705.9E-3,-1.259
860.0E3,-737.2E-3,-1.221
880.0E3,-769.0E-3,-1.184
900.0E3,-801.3E-3,-1.147
920.0E3,-834.0E-3,-1.111
940.0E3,-867.2E-3,-1.075
960.0E3,-900.9E-3,-1.039
980.0E3,-935.0E-3,-1.004
1.000E6,-969.6E-3,-968.6E-3
1.020E6,-1.005,-934.1E-3
1.040E6,-1.040,-900.0E-3
1.060E6,-1.076,-866.3E-3
1.080E6,-1.112,-833.1E-3
1.100E6,-1.148,-800.3E-3
1.120E6,-1.185,-768.1E-3
1.140E6,-1.222,-736.3E-3
1.160E6,-1.260,-705.0E-3
1.180E6,-1.298,-674.3E-3
1.200E6,-1.336,-644.1E-3
1.220E6,-1.375,-614.4E-3
1.240E6,-1.413,-585.3E-3
1.260E6,-1.452,-556.7E-3
1.280E6,-1.492,-528.7E-3
1.300E6,-1.531,-501.4E-3
